package_id,package_name,destination,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost,budget_category,duration_category,package_profile
IND0011,delhi explorer package,delhi,3,5star,breakfast,ac coach,garden of five senses delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.1,39132,standard,weekend,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography honeymoon honeymoon honeymoon couples couples couples garden of five senses delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots garden of five senses delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star standard standard weekend weekend ac coach breakfast
IND0012,delhi explorer package,delhi,3,5star,breakfast dinner,flight cab,lodhi garden delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.5,30157,standard,weekend,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography adventure adventure adventure adventure lovers adventure lovers adventure lovers lodhi garden delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots lodhi garden delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star standard standard weekend weekend flight cab breakfast dinner
IND0013,delhi explorer package,delhi,4,5star,breakfast,flight cab,national gallery of modern art delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.5,100415,luxury,short_trip,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography luxury luxury luxury premium travelers premium travelers premium travelers national gallery of modern art delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots national gallery of modern art delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star luxury luxury short_trip short_trip flight cab breakfast
IND0014,delhi explorer package,delhi,3,4star,breakfast,train cab,national zoological park delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.1,21205,budget,weekend,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts national zoological park delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots national zoological park delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star budget budget weekend weekend train cab breakfast
IND0015,delhi explorer package,delhi,6,4star,breakfast lunch dinner,flight cab,qutub minar delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.5,39610,standard,short_trip,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers qutub minar delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots qutub minar delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star standard standard short_trip short_trip flight cab breakfast lunch dinner
IND0016,delhi explorer package,delhi,3,3star,breakfast dinner,train cab,national science centre delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.4,88174,premium,weekend,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography grand tour grand tour grand tour all travelers all travelers all travelers national science centre delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots national science centre delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star premium premium weekend weekend train cab breakfast dinner
IND0017,mumbai explorer package,mumbai,5,4star,breakfast lunch dinner,flight cab,marine drive mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.5,15886,budget,short_trip,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography budget budget budget students solo travelers students solo travelers students solo travelers marine drive mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots marine drive mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star budget budget short_trip short_trip flight cab breakfast lunch dinner
IND0018,mumbai explorer package,mumbai,4,luxury heritage,breakfast lunch dinner,train cab,gateway of india mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.6,31984,standard,short_trip,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography family family family families families families gateway of india mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots gateway of india mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots luxury heritage luxury heritage standard standard short_trip short_trip train cab breakfast lunch dinner
IND0019,mumbai explorer package,mumbai,4,4star,breakfast,flight cab,chhatrapati shivaji maharaj vastu sangrahalaya mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.6,44453,standard,short_trip,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography honeymoon honeymoon honeymoon couples couples couples chhatrapati shivaji maharaj vastu sangrahalaya mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots chhatrapati shivaji maharaj vastu sangrahalaya mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star standard standard short_trip short_trip flight cab breakfast
IND0020,mumbai explorer package,mumbai,7,luxury heritage,breakfast dinner,ac coach,sanjay gandhi national park mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.3,45149,standard,vacation,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography adventure adventure adventure adventure lovers adventure lovers adventure lovers sanjay gandhi national park mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots sanjay gandhi national park mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots luxury heritage luxury heritage standard standard vacation vacation ac coach breakfast dinner
IND0021,mumbai explorer package,mumbai,4,3star,breakfast,private cab,siddhivinayak temple mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.8,98138,premium,short_trip,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography luxury luxury luxury premium travelers premium travelers premium travelers siddhivinayak temple mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots siddhivinayak temple mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star premium premium short_trip short_trip private cab breakfast
IND0022,mumbai explorer package,mumbai,4,luxury heritage,breakfast lunch dinner,private cab,mahalaxmi temple mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.7,23533,budget,short_trip,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts mahalaxmi temple mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots mahalaxmi temple mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots luxury heritage luxury heritage budget budget short_trip short_trip private cab breakfast lunch dinner
IND0023,mumbai explorer package,mumbai,6,luxury heritage,breakfast lunch dinner,flight cab,haji ali dargah mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.4,40825,standard,short_trip,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers haji ali dargah mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots haji ali dargah mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots luxury heritage luxury heritage standard standard short_trip short_trip flight cab breakfast lunch dinner
IND0024,mumbai explorer package,mumbai,7,3star,breakfast lunch dinner,flight cab,chowpatty beach mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,grand tour,all travelers,4.3,138779,luxury,vacation,mumbai mumbai mumbai mumbai water sports beach walk sunset cruise water sports beach walk sunset cruise water sports beach walk sunset cruise water sports beach walk sunset cruise grand tour grand tour grand tour all travelers all travelers all travelers chowpatty beach mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots chowpatty beach mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star luxury luxury vacation vacation flight cab breakfast lunch dinner
IND0025,mumbai explorer package,mumbai,5,5star,breakfast dinner,ac coach,essel world mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.3,14556,budget,short_trip,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography budget budget budget students solo travelers students solo travelers students solo travelers essel world mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots essel world mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star budget budget short_trip short_trip ac coach breakfast dinner
IND0026,mumbai explorer package,mumbai,6,5star,breakfast lunch dinner,ac coach,elephanta caves mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.3,38442,standard,short_trip,mumbai mumbai mumbai mumbai sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography family family family families families families elephanta caves mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots elephanta caves mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star standard standard short_trip short_trip ac coach breakfast lunch dinner
IND0027,lonavala explorer package,lonavala,7,5star,breakfast lunch dinner,ac coach,imagicaa lonavala local market lonavala city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,1.4,56823,premium,vacation,lonavala lonavala lonavala lonavala sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography honeymoon honeymoon honeymoon couples couples couples imagicaa lonavala local market lonavala city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots imagicaa lonavala local market lonavala city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star premium premium vacation vacation ac coach breakfast lunch dinner
IND0028,bangalore explorer package,bangalore,4,4star,breakfast lunch dinner,private cab,bangalore palace bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.2,31944,standard,short_trip,bangalore bangalore bangalore bangalore sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography adventure adventure adventure adventure lovers adventure lovers adventure lovers bangalore palace bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots bangalore palace bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star standard standard short_trip short_trip private cab breakfast lunch dinner
IND0029,bangalore explorer package,bangalore,7,luxury heritage,breakfast,private cab,lalbagh botanical garden bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.4,130498,luxury,vacation,bangalore bangalore bangalore bangalore sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography luxury luxury luxury premium travelers premium travelers premium travelers lalbagh botanical garden bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots lalbagh botanical garden bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots luxury heritage luxury heritage luxury luxury vacation vacation private cab breakfast
IND0030,bangalore explorer package,bangalore,5,4star,breakfast,ac coach,cubbon park bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.4,29191,standard,short_trip,bangalore bangalore bangalore bangalore sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts cubbon park bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots cubbon park bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star standard standard short_trip short_trip ac coach breakfast
IND0031,bangalore explorer package,bangalore,7,3star,breakfast lunch dinner,train cab,vidhana soudha bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.6,43157,standard,vacation,bangalore bangalore bangalore bangalore sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers vidhana soudha bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots vidhana soudha bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star standard standard vacation vacation train cab breakfast lunch dinner
IND0032,bangalore explorer package,bangalore,3,4star,breakfast lunch dinner,train cab,iskcon temple bangalore bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.6,86380,premium,weekend,bangalore bangalore bangalore bangalore sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography grand tour grand tour grand tour all travelers all travelers all travelers iskcon temple bangalore bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots iskcon temple bangalore bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star premium premium weekend weekend train cab breakfast lunch dinner
IND0033,hyderabad explorer package,hyderabad,7,5star,breakfast lunch dinner,train cab,charminar hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.5,17016,budget,vacation,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography budget budget budget students solo travelers students solo travelers students solo travelers charminar hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots charminar hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star budget budget vacation vacation train cab breakfast lunch dinner
IND0034,hyderabad explorer package,hyderabad,4,5star,breakfast dinner,flight cab,golconda fort hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.4,30467,standard,short_trip,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography family family family families families families golconda fort hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots golconda fort hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star standard standard short_trip short_trip flight cab breakfast dinner
IND0035,hyderabad explorer package,hyderabad,6,3star,breakfast,ac coach,hussain sagar lake hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.3,52382,premium,short_trip,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography honeymoon honeymoon honeymoon couples couples couples hussain sagar lake hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots hussain sagar lake hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star premium premium short_trip short_trip ac coach breakfast
IND0036,hyderabad explorer package,hyderabad,3,3star,breakfast lunch dinner,ac coach,ramoji film city hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.4,26801,standard,weekend,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography adventure adventure adventure adventure lovers adventure lovers adventure lovers ramoji film city hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots ramoji film city hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star standard standard weekend weekend ac coach breakfast lunch dinner
IND0037,hyderabad explorer package,hyderabad,7,3star,breakfast,private cab,salar jung museum hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.4,131259,luxury,vacation,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography luxury luxury luxury premium travelers premium travelers premium travelers salar jung museum hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots salar jung museum hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star luxury luxury vacation vacation private cab breakfast
IND0038,hyderabad explorer package,hyderabad,4,3star,breakfast dinner,private cab,qutb shahi tombs hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.4,25383,standard,short_trip,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts qutb shahi tombs hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots qutb shahi tombs hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star standard standard short_trip short_trip private cab breakfast dinner
IND0039,hyderabad explorer package,hyderabad,7,5star,breakfast lunch dinner,train cab,birla mandir hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.7,42173,standard,vacation,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers birla mandir hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots birla mandir hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star standard standard vacation vacation train cab breakfast lunch dinner
IND0040,hyderabad explorer package,hyderabad,4,luxury heritage,breakfast,train cab,chowmahalla palace hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.4,99175,premium,short_trip,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography grand tour grand tour grand tour all travelers all travelers all travelers chowmahalla palace hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots chowmahalla palace hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots luxury heritage luxury heritage premium premium short_trip short_trip train cab breakfast
IND0041,hyderabad explorer package,hyderabad,6,3star,breakfast,train cab,nehru zoological park hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.2,15326,budget,short_trip,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography budget budget budget students solo travelers students solo travelers students solo travelers nehru zoological park hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots nehru zoological park hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star budget budget short_trip short_trip train cab breakfast
IND0042,hyderabad explorer package,hyderabad,5,luxury heritage,breakfast dinner,private cab,lumbini park hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.1,34749,standard,short_trip,hyderabad hyderabad hyderabad hyderabad sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography family family family families families families lumbini park hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots lumbini park hyderabad local market hyderabad city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots luxury heritage luxury heritage standard standard short_trip short_trip private cab breakfast dinner
